title,years,tomatometer,reviews_counted,fresh,rotten,score,average_rating,number_of_ratings
,,,,,,,,
            Rashômon ,-1951,98,52,51,1,93,4.3,47921
,,,,,,,,
            The Wrestler ,-2008,98,225,221,4,88,4,140239
,,,,,,,,
            The Good  the Bad and the Ugly ,-1966,97,69,67,2,97,4,239078
,,,,,,,,
            Pinocchio ,-1940,100,47,47,0,72,3.3,278986
,,,,,,,,
            Finding Dory ,-2016,94,307,289,18,84,4.1,181160
,,,,,,,,
            Jaws ,-1975,97,79,77,2,90,3.5,943309
,,,,,,,,
            The Wages of Fear ,-1953,100,43,43,0,95,4.4,8656
,,,,,,,,
            L.A. Confidential ,-1997,99,109,108,1,94,3.8,150341
,,,,,,,,
            It Follows ,-2015,97,240,232,8,66,3.5,44292
,,,,,,,,
            Captain America: Civil War ,-2016,91,376,342,34,89,4.3,177185
,,,,,,,,
            On the Waterfront ,-1954,98,63,62,1,95,4.2,51964
,,,,,,,,
            Open City ,-1946,100,42,42,0,92,4.2,6204
,,,,,,,,
            Moana ,-2016,96,257,246,11,89,4.2,68393
,,,,,,,,
            I Am Not Your Negro ,-2017,98,190,187,3,83,4.1,14050
,,,,,,,,
            Tokyo Story ,-1953,100,42,42,0,93,4.4,11588
,,,,,,,,
            Carol ,-2015,95,284,269,15,73,3.8,29158
,,,,,,,,
            Creed ,-2015,95,283,269,14,89,4.2,75216
,,,,,,,,
            The Grapes of Wrath ,-1940,100,44,44,0,88,3.9,24181
,,,,,,,,
            Harry Potter and the Deathly Hallows - Part 2 ,-2011,96,319,306,13,89,4.3,390417
,,,,,,,,
            Roman Holiday ,-1953,98,53,52,1,94,4.1,63153
,,,,,,,,
            The Last Picture Show ,-1971,100,51,51,0,90,4.1,14001
,,,,,,,,
            High Noon ,-1952,96,50,48,2,89,4,25260
